temperature,humidity,rainfall,soil_moisture,soil_ph,crop,irrigation,yield
25,60,120,45,6.5,Rice,High,3.2
28,65,80,40,6.8,Wheat,Medium,2.8
30,70,150,50,6.2,Rice,High,3.5
22,55,100,35,7.0,Wheat,Low,2.5
35,75,60,30,7.2,Sugarcane,High,4.0
20,50,90,40,6.0,Barley,Medium,2.2
27,62,110,42,6.5,Maize,High,3.0
32,68,70,38,7.1,Cotton,Medium,2.9
24,58,130,48,6.3,Rice,High,3.3
26,63,85,36,6.9,Wheat,Medium,2.7
18,45,95,32,5.8,Potato,Low,2.0
29,66,140,46,6.4,Rice,High,3.4
31,72,65,34,7.3,Sugarcane,High,4.2
23,52,105,39,6.7,Wheat,Medium,2.6
33,74,55,31,7.4,Cotton,Medium,3.1
21,48,115,41,6.1,Maize,High,2.8
34,76,50,29,7.5,Sugarcane,High,4.5
19,43,125,43,5.9,Rice,High,3.1
36,78,45,28,7.6,Cotton,Medium,3.3
17,40,135,44,5.7,Rice,High,3.0
